GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project1,com.project1.model,UserRole,39,19,8,3,12,5,10,2,4,2
Project1,com.project1.model,ReimbursementStatus,48,47,11,9,17,17,13,8,4,4
Project1,com.project1.model,User,31,27,0,0,14,10,9,3,9,3
Project1,com.project1.model,Reimbursement,53,62,0,0,24,20,15,7,15,7
Project1,com.project1.model,ReimbursementType,65,40,15,8,23,14,18,6,5,3
Project1,com.project1.controller,UserController,224,0,6,0,48,0,9,0,6,0
Project1,com.project1.controller,ReimbursementController,195,16,4,0,49,6,7,2,5,2
Project1,com.project1.controller,SessionController,32,4,0,0,8,1,4,1,4,1
Project1,com.project1.config,EnvironmentConnectionUtil,6,33,0,2,3,12,0,5,0,4
Project1,com.project1.service,UserService,8,35,0,2,2,11,1,5,1,4
Project1,com.project1.service,ReimbursementService,13,61,1,1,2,14,2,5,1,5
Project1,com.project1.servlet,JsonServlet,20,7,0,0,6,2,2,2,2,2
Project1,com.project1.servlet,NaviServlet,27,0,0,0,8,0,4,0,4,0
Project1,com.project1.servlet,RequestForwarder,125,0,16,0,32,0,15,0,4,0
Project1,com.project1.repo,DaoTest,12,0,0,0,4,0,2,0,2,0
Project1,com.project1.repo,ReimbursementDao,326,474,16,14,79,92,16,7,3,5
Project1,com.project1.repo,UserDao,199,97,4,2,59,27,7,3,4,3
